Table 3: Statement of Interest Rate Sensitivity (IRS),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
A1. Cumulative Outflows,Y1230,3573.742537794093,7316.2430651326285,12139.782938787457,28917.697941847728,41900.4677898322,74893.93820509067,126613.66948619382,195994.4767014,195994.4767014,196058.48670140002,259970.3467014,259970.3467014,,,
B. INFLOWS,,,,,,,,,,,,,,,,
1. Cash,Y1240,545.56,0,0,0,0,0,0,0,0,0,0,545.56,,,
2. Remittance in transit,Y1250,0,0,0,0,0,0,0,0,0,0,0,0,,,
3.Balances with Banks (i+ii+iii),Y1260,8970.730000000001,0,0,0,0,0,0,3199.33,0,0,0.57,12170.630000000001,,,
(i) Current account,Y1270,8965.61,0,0,0,0,0,0,0,0,0,0.57,8966.18,,,
"(ii) In deposit accounts, and other placements",Y1280,5.12,0,0,0,0,0,0,3199.33,0,0,0,3204.45,,,
(iii) Money at Call & Short Notice,Y1290,0,0,0,0,0,0,0,0,0,0,0,0,,,
"4.Investments (net of provisions)  (i+ii+iii+iv+v+vi+vii)
(Under various categories as detailed below)",Y1300,0,0,0,0,0,0,0,0,0,0,1221.24745,1221.24745,,,
(i) Fixed Income Securities ,Y1310,0,0,0,0,0,0,0,0,0,0,0,0,,,
a)Government Securities,Y1320,0,0,0,0,0,0,0,0,0,0,0,0,,,
b) Zero Coupon Bonds,Y1330,0,0,0,0,0,0,0,0,0,0,0,0,,,
c) Bonds,Y1340,0,0,0,0,0,0,0,0,0,0,0,0,,,
d) Debentures,Y1350,0,0,0,0,0,0,0,0,0,0,0,0,,,
e) Cumulative Redeemable Preference Shares,Y1360,0,0,0,0,0,0,0,0,0,0,0,0,,,
f) Non-Cumulative Redeemable Preference Shares,Y1370,0,0,0,0,0,0,0,0,0,0,0,0,,,
g) Others (Please Specify) ,Y1380,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Floating rate securities,Y1390,0,0,0,0,0,0,0,0,0,0,0,0,,,
a)Government Securities,Y1400,0,0,0,0,0,0,0,0,0,0,0,0,,,
b) Zero Coupon Bonds,Y1410,0,0,0,0,0,0,0,0,0,0,0,0,,,
c) Bonds,Y1420,0,0,0,0,0,0,0,0,0,0,0,0,,,
d) Debentures,Y1430,0,0,0,0,0,0,0,0,0,0,0,0,,,
e) Cumulative Redeemable Preference Shares,Y1440,0,0,0,0,0,0,0,0,0,0,0,0,,,
f) Non-Cumulative Redeemable Preference Shares,Y1450,0,0,0,0,0,0,0,0,0,0,0,0,,,
g) Others (Please Specify) ,Y1460,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Equity Shares,Y1470,0,0,0,0,0,0,0,0,0,0,1221.24745,1221.24745,,,
(iv) Convertible Preference Shares ,Y1480,0,0,0,0,0,0,0,0,0,0,0,0,,,
(v) In shares of Subsidiaries / Joint Ventures,Y1490,0,0,0,0,0,0,0,0,0,0,0,0,,,
(vi) In shares of Venture Capital Funds,Y1500,0,0,0,0,0,0,0,0,0,0,0,0,,,
(vii) Others ,Y1510,0,0,0,0,0,0,0,0,0,0,0,0,,,
5.Advances (Performing),Y1520,12113.608524778288,4153.785730900001,0,37571.3723854,10315.193441200001,94874.50338536,56810.9975616,9045.264538800002,5203.900891999999,5560.73907448009,0,235649.36553451838,,,
(i) Bills of exchange and promissory notes discounted & rediscounted,Y1530,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Term loans,Y1540,12113.608524778288,4153.785730900001,0,37571.3723854,10315.193441200001,94874.50338536,56810.9975616,9045.264538800002,5203.900891999999,5560.73907448009,0,235649.36553451838,,,
(a) Fixed Rate,Y1550,12113.608524778288,4153.785730900001,0,37571.3723854,10315.193441200001,94874.50338536,56810.9975616,9045.264538800002,5203.900891999999,5560.73907448009,0,235649.36553451838,,,
(b) Floating Rate,Y1560,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Corporate loans/short term loans,Y1570,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Fixed Rate,Y1580,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Floating Rate,Y1590,0,0,0,0,0,0,0,0,0,0,0,0,,,
6.Non-Performing Loans (i+ii+iii),Y1600,0,0,0,0,0,0,0,0,0,0,0,0,,,
(i) Sub-standard Category,Y1610,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Doubtful Category,Y1620,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Loss Category,Y1630,0,0,0,0,0,0,0,0,0,0,0,0,,,
7.Assets on Lease,Y1640,0,0,0,0,0,0,0,0,0,0,0,0,,,
8.Fixed assets (excluding assets on lease),Y1650,0,0,0,0,0,0,0,0,0,0,3341.8,3341.8,,,
9.Other Assets (i+ii),Y1660,17.85,13.74,0,627.01,197.54,131.63,711.47,0,0,0,5322.61,7021.849999999999,,,
(i) Intangible assets & other non-cash flow items,Y1670,0,0,0,0,0,0,0,0,0,0,4985.37,4985.37,,,
"(ii) Other items (e.g. accrued income, other receivables, staff loans, etc.)",Y1680,17.85,13.74,0,627.01,197.54,131.63,711.47,0,0,0,337.24,2036.48,,,
10.Statutory Dues ,Y1690,0,0,0,0,0,0,0,0,0,60.72,0,60.72,,,
11.Unclaimed Deposits (i+ii),Y1700,0,0,0,0,0,0,0,0,0,0,0,0,,,
(i) Pending for less than 7 years,Y1710,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Pending for greater than 7 years,Y1720,0,0,0,0,0,0,0,0,0,0,0,0,,,
12.Any other Unclaimed Amount,Y1730,0,0,0,0,0,0,0,0,0,0,0,0,,,
13.Debt Service Realisation Account,Y1740,0,0,0,0,0,0,0,0,0,0,0,0,,,
14.Total Inflow account of OBS items (OI)(Details to be given in Table 4 below),Y1750,0,0,0,0,0,0,0,0,0,0,0,0,,,
B. TOTAL INFLOWS (B) (Sum of 1 to 14),Y1760,21647.74852477829,4167.525730900001,0,38198.3823854,10512.733441200002,95006.13338536001,57522.4675616,12244.594538800002,5203.900891999999,5621.45907448009,9886.227449999998,260011.17298451837,,,
C. Mismatch (B - A),Y1770,18074.005986984197,425.0252035614658,-4823.539873654829,21420.467382339728,-2470.036406784471,62012.66297010154,5802.736280496858,-57136.212676406176,5203.900891999999,5557.44907448009,-54025.63255,40.82628311839653,,,
D. Cumulative mismatch,Y1780,18074.005986984197,18499.031190545662,13675.491316890833,35095.95869923056,32625.922292446092,94638.58526254763,100441.32154304448,43305.10886663831,48509.009758638305,54066.45883311839,40.826283118389256,40.826283118389256,,,
E. Mismatch as % of Total Outflows,Y1790,5.0574,0.1136,-1,1.2767,-0.1903,1.8795,0.1122,-0.8235,0,86.8216,-0.8453,0.0002,,,
F. Cumulative Mismatch as % of Cumulative Total Outflows,Y1800,5.0574,2.5285,1.1265,1.2136,0.7787,1.2636,0.7933,0.221,0.2475,0.2758,0.0002,0.0002,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,terseLabel,,,,,,,,,,,,,,,
,,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::rbi-core.xsd#rbi-core_ZeroToSevenDaysMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_EightToFourteenDaysMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::rbi-core.xsd#rbi-core_FifteenToThirtyOrThirtyOneDaysMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::rbi-core.xsd#rbi-core_OverOneMonthAndUptoTwoMonthsMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::rbi-core.xsd#rbi-core_OverTwoMonthsAndUptoThreeMonthsMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_OverThreeMonthsAndUptoSixMonthsMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_OverSixMonthsAndUptoOneYearMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_OverOneYearAndUptoThreeYearsMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_OverThreeYearsAndUptoFiveYearMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_OverFiveYearsMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::in-rbi-rep.xsd#in-rbi-rep_InterestRateNonSensitiveMember,in-rbi-rep.xsd#in-rbi-rep_InterestRatePeriodAxis::rbi-core.xsd#rbi-core_AggregateMember,,,
#CustPlc#,#CustPlc#,,,,,,,,,,,,,,,
Table 4: Statement on Interest Rate Sensitivity (IRS) : Off-Balance Sheet Items (OBS),,,,,,,,,,,,,,,,
Particulars,,0 day to 7 days,8 days to 14 days, 15 days to 30/31 days (One month),Over one month and upto 2 months,Over two months and upto 3 months,Over 3 months and upto 6 months,Over 6 months and upto 1 year,Over 1 year and upto 3 years,Over 3 years and upto 5 years,Over 5 years ,Non-sensitive,Total,,,
,,X130,X140,X150,X160,X170,X180,X190,X200,X210,X220,X230,X240,,,
,,,,,,,,,,,,,,,,
A. Expected Outflows on account of OBS items,,,,,,,,,,,,,,,,
1.Lines of credit committed to other institutions,Y1810,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.Letter of Credits (LCs),Y1820,0,0,0,0,0,0,0,0,0,0,0,0,,,
3.Guarantees (Financial & Others),Y1830,0,0,0,0,0,0,0,0,0,0,0,0,,,
"4.Sale and repurchase agreement and asset sales with recourse, where the credit risk remains with the applicable NBFC.",Y1840,0,0,0,0,0,0,0,0,0,0,0,0,,,
"5.Lending of NBFC securities or posting of securities as collateral by the NBFC-IFC, including instances where these arise out of repo style transactions",Y1850,0,0,0,0,0,0,0,0,0,0,0,0,,,
6.Commitment to provide liquidity facility for securitization of standard asset transactions,Y1860,0,0,0,0,0,0,0,0,0,0,0,0,,,
7.Second loss credit enhancement for securitization of standard asset transactions provided as third party,Y1870,0,0,0,0,0,0,0,0,0,0,0,0,,,
8.Outflows from Derivative Exposures (i+ ii + iii + iv + v + vi),Y1880,0,0,0,0,0,0,0,0,0,0,0,0,,,
(i) Futures Contracts ((a)+(b)+(c)),Y1890,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Currency Futures,Y1900,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Interest Rate Futures,Y1910,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(c) Other Futures (Commodities, Securities etc.)",Y1920,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Options Contracts ((a)+(b)+(c)),Y1930,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Currency Options Purchased / Sold,Y1940,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Interest Rate Options,Y1950,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(c) Other Options (Commodities, Securities etc.)",Y1960,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Swaps - Currency ((a)+(b)),Y1970,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Cross Currency Interest Rate Swaps (Not Involving Rupee),Y1980,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) FCY - INR Interest Rate Swaps,Y1990,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iv) Swaps - Interest Rate ((a)+(b)),Y2000,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Single Currency Interest Rate Swaps,Y2010,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Basis Swaps,Y2020,0,0,0,0,0,0,0,0,0,0,0,0,,,
(v) Credit Default Swaps(CDS) Purchased,Y2030,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(vi) Swaps - Others (Commodities, securities etc.)",Y2040,0,0,0,0,0,0,0,0,0,0,0,0,,,
9.Other contingent outflows,Y2050,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total Outflow on account of OBS items (OO) : Sum of (1+2+3+4+5+6+7+8+9),Y2060,0,0,0,0,0,0,0,0,0,0,0,0,,,
B. Expected Inflows on account of OBS Items,,,,,,,,,,,,,,,,
1.Credit commitments from other institutions pending disbursal,Y2070,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.Inflows on account of Reverse Repos (Buy /Sell) ,Y2080,0,0,0,0,0,0,0,0,0,0,0,0,,,
3.Inflows on account of Bills rediscounted,Y2090,0,0,0,0,0,0,0,0,0,0,0,0,,,
4.Inflows from Derivative Exposures (i+ ii + iii + iv + v + vi),Y2100,0,0,0,0,0,0,0,0,0,0,0,0,,,
(i) Futures Contracts ((a)+(b)+(c)),Y2110,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Currency Futures,Y2120,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Interest Rate Futures,Y2130,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(c) Other Futures (Commodities, Securities etc.)",Y2140,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ii) Options Contracts ((a)+(b)+(c)),Y2150,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Currency Options Purchased / Sold,Y2160,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Interest Rate Options,Y2170,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(c) Other Options (Commodities, Securities etc.)",Y2180,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Swaps - Currency ((a)+(b)),Y2190,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Cross Currency Interest Rate Swaps (Not Involving Rupee),Y2200,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) FCY - INR Interest Rate Swaps,Y2210,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iv) Swaps - Interest Rate ((a)+(b)),Y2220,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Single Currency Interest Rate Swaps,Y2230,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b) Basis Swaps,Y2240,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(v) Swaps - Others (Commodities, securities etc.)",Y2250,0,0,0,0,0,0,0,0,0,0,0,0,,,
(vi) Credit Default Swaps (CDS) Purchased,Y2260,0,0,0,0,0,0,0,0,0,0,0,0,,,
5.Other contingent inflows,Y2270,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total Inflow on account of OBS items (OI) : Sum of (1+2+3+4+5),Y2280,0,0,0,0,0,0,0,0,0,0,0,0,,,
C. MISMATCH(OI-OO),Y2290,0,0,0,0,0,0,0,0,0,0,0,0,,,
