Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 31 Mar 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
4,APJLG0288,Anandapuram_JLG,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
5,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
6,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
7,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
8,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
9,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
10,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
11,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
12,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
13,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
14,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
15,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
16,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,rural,,,,,0,0,,,,,,,,,,,,,,,
17,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
18,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
19,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
20,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
21,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
22,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
23,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
24,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
25,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
26,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
27,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
28,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
29,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
30,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,Rural,,,,,0,0,,,,,,,,,,,,,,,
31,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
32,APKL0110,Ajit Singh Nagar_KL,Krishna,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
33,APKL0061,Allagadda_KL,Nandyal,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
34,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
35,TSJLG0282,Aswaraopeta_JLG,Bhadradri Kothagudem,Telangana,Rural,,,,,0,0,,,,,,,,,,,,,,,
36,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
37,APJLG0183,Challapalli_JLG,Krishna,Andhra Pradesh,rural,,,,,0,0,,,,,,,,,,,,,,,
38,APKL0043,Challapalli_KL,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
39,APJLG0227,Chilakaluripet_JLG,Palnadu,Andhra Pradesh,rural,,,,,0,0,,,,,,,,,,,,,,,
40,APMP0160,Chilakaluripet_LH,Palnadu,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
41,APKL0155,Chirala_KL,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
42,APMP0127,Chittoor_LH,Chittoor,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
43,APKL0071,Cumbum_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
44,APKL0216,Giddalur_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
45,SRJLG0002,Gokavaram_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
46,APMP0143,Gokavaram_LH,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
47,APKL0022,Gopalapuram_KL,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
48,APMP0277,Gudivada_LH,Krishna,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
49,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
50,TSKL0076,Hydershah kote(Sun City)_KL,Hyderabad,Telangana,Urban,,,,,0,0,,,,,,,,,,,,,,,
51,APKL0168,Kadapa-2_KL,Kadapa,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
52,APKL0020,Kadapa_KL,Kadapa,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
53,APKL0041,Kadiri_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
54,APKL0115,Kakinada_KL,Kakinada,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
55,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
56,TSJLG0224,Kallur_JLG,Khammam,Telangana,Rural,,,,,0,0,,,,,,,,,,,,,,,
57,APMP0231,Kandukur_LH,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
58,APJLG0265,Karapa_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
59,APMP0258,Addanki_LH,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
60,APMP0141,Amalapuram_LH,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
61,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
62,APKL0002,Badvel_KL,Kadapa,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
63,APJLG0287,Bapulapadu_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
64,APKL0013,Bhimadole_KL,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
65,APKL0003,Bhimavaram_KL,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
66,ORJLG0333,Buguda_JLG,Ganjam,Orissa,Rural,,,,,0,0,,,,,,,,,,,,,,,
67,APKL0106,Chagallu_KL,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
68,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
69,APJLG0305,Chebrolu_JLG,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
70,APKL0028,Cherukupalli_KL,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
71,APKL0004,Chimakurthi_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
72,APJLG0281,Cumbum_JLG,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
73,APKL0016,Dharmavaram_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
74,APKL0060,Dhone_KL,Nandyal,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
75,ORJLG0296,Digapahandi_JLG,Ganjam,Orissa,Rural,,,,,0,0,,,,,,,,,,,,,,,
76,APJLG0285,Dwaraka Tirumala_JLG,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
77,APKL0156,Gokavaram_KL,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
78,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
79,APKL0104,Gudivada_KL,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
80,APKL0001,Gunadala_KL,Krishna,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
81,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
82,APKL0238,Hindupur_2,Sri Sathya Sai,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
83,APMP0129,Hindupur_LH,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
84,ORJLG0336,Jagannath Prasad_JLG,Ganjam,Orissa,Rural,,,,,0,0,,,,,,,,,,,,,,,
85,APJLG0203,Jaggaiahpet_JLG,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
86,APMP0098,Kadiyam_LH(Rajahmundry),East Godavari,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
87,APKL0025,Kothapeta_KL,Guntur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
88,APKL0134,Akkayyapalem_KL,Visakhapatnam,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
89,APKL0063,Amaravathi_KL,Palnadu,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
90,APMP0157,Anakapalle_LH,Anakapalle,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
91,APKL0174,Anakapalli_KL,Anakapalle,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
92,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
93,KAMP0176,Bangarpet_LH,Kolar,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
94,APKL0011,Bangaruplayam_KL,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
95,APJLG0327,Bantumilli_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
96,APKL0053,Bobbili_KL,Vizianagaram,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
97,ORJLG0290,Chatrapur_JLG,Ganjam,Orissa,Rural,,,,,0,0,,,,,,,,,,,,,,,
98,APKL0078,Chennekothapalli_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
99,APJLG0228,Cherukupalli_JLG,Bapatla,Andhra Pradesh,rural,,,,,0,0,,,,,,,,,,,,,,,
100,APKL0026,Chilakaluripet_KL,Palnadu,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
101,APJLG0286,Chintalapudi_JLG,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
102,APJLG0272,Chodavaram_JLG,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
103,APMP0248,Cumbum_LH,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
104,APKL0046,Darsi_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
105,APKL0175,Gajuwaka_KL,Visakhapatnam,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
106,APKL0213,Gopalapatnam_KL,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
107,APKL0068,Hindupur_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
108,ORJLG0334,Hinjilicut_JLG,Ganjam,Orissa,Rural,,,,,0,0,,,,,,,,,,,,,,,
109,TSMP0312,Hyderabad_LH,Hyderabad,Telangana,Urban,,,,,0,0,,,,,,,,,,,,,,,
110,APKL0024,Jangareddygudem_KL,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
111,APMP0256,Jangareddygudem_LH,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
112,APJLG0185,Kaikalur_JLG,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
113,APKL0039,Kathipudi_KL,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
114,APKL0105,Komarolu_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
115,APJLG0304,Korukonda_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
116,APKL0007,Koyyalagudem_KL,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
117,APJLG0323,Kuchipudi_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
118,APKL0037,Karlapalem_KL,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
119,APKL0182,Kondapalli_KL,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
120,APKL0119,Kota_KL,Tirupati,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
121,APJLG0273,Kotananduru_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
122,TSJLG0284,Kothagudem_JLG,Bhadradri Kothagudem,Telangana,Rural,,,,,0,0,,,,,,,,,,,,,,,
123,APJLG0196,Koyyalagudem_JLG,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
124,APMP0128,Madanapalle_LH,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
125,TSJLG0199,Madhira_JLG,Khammam,Telangana,rural,,,,,0,0,,,,,,,,,,,,,,,
126,APKL0034,Mandapet_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
127,APJLG0237,Mylavaram_JLG,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
128,APKL0215,Naidupet_KL,Tirupati,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
129,APKL0032,Narasaraopet_KL,Palnadu,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
130,APMP0096,Narsipatnam_LH,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
131,APKL0122,Nellore_KL,Nellore,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
132,APKL0080,Obula Devara Cheruvu_KL,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
133,APKL0113,Ongole_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
134,APKL0101,Palasa_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
135,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
136,APKL0247,Pathapatnam_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
137,APKL0170,Pattikonda_KL,Kurnool,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
138,KAKL0210,Pavagada_KL,Tumkur,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
139,APJLG0229,Pedanandipadu_JLG,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
140,APJLG0241,Pithapuram_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
141,APJLG0278,Podili_JLG,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
142,APKL0073,Podili_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
143,APMP0232,Podili_LH,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
144,APJLG0226,Ponnur_JLG,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
145,APKL0054,Ponnur_KL,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
146,APMP0161,Ponnur_LH,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
147,APJLG0291,Madanapalle_JLG,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
148,APKL0010,Madanapalle_KL,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
149,KAMP0165,Madhugiri_LH,Tumkur,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
150,APJLG0280,Markapuram_JLG,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
151,APKL0154,Markapuram_KL,Prakasam,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
152,KAMP0178,Mulbagal_LH,Kolar,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
153,APJLG0268,Mundlamuru_JLG,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
154,APKL0021,Mydukur_KL,Kadapa,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
155,APKL0090,Nallajerla_KL,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
156,APKL0091,Nandyal_KL,Nandyal,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
157,APKL0072,Narayanapuram_KL,Eluru,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
158,APKL0094,Narsipatnam_KL,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
159,APJLG0262,Nidadavolu_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
160,APMP0142,Palakollu_LH,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
161,APJLG0292,Palamaner_JLG,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
162,APKL0017,Palamaner_KL,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
163,KAMP0139,Pavagada_LH,Tumkur,Karnataka,Rural,,,,,0,0,,,,,,,,,,,,,,,
164,APKL0047,Piler_KL,Annamayya,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
165,APKL0005,Prathipadu(EG)_KL,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
166,APJLG0263,Prathipadu-EG_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
167,APJLG0239,Rajanagaram_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
168,APMP0164,Rayadurgam_LH,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
169,APMP0159,Repalle_LH,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
170,APKL0214,Sompeta,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
171,APKL0066,Tagarapuvalasa_KL,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
172,APKL0220,Tanuku_KL,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
173,APKL0191,Tekkali_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
174,APJLG0267,Tetagunta_JLG,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
175,APKL0206,Uravakonda_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
176,TNKL0062,Vellore_KL,Vellore,Tamil Nadu,Urban,,,,,0,0,,,,,,,,,,,,,,,
177,APMP0100,Nandyal_LH,Nandyal,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
178,APMP0230,Ongole_LH,Prakasam,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
179,APJLG0266,P.Gannavaram_JLG,Ambedkar konaseem,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
180,APMP0126,Palamaner_LH,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
181,APKL0049,Parvathipuram_KL,Parvathipuram Manyam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
182,APKL0067,Patnam Bazar_KL,Guntur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
183,APMP0234,Patnam Bazar_LH,Guntur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
184,APJLG0243,Pedana_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
185,APJLG0194,Penugonda_JLG,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
186,APKL0055,Prathipadu_KL,Guntur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
187,APJLG0294,Punganur_JLG,Chittoor,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
188,APKL0093,Rajanagaram_KL,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
189,APKL0108,Ranasthalam_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
